TIME STAMP,PROCESS,GRAPHICS API,FPS,AVG FRAME TIME,99th% FPS,MICRO STUTTER,HEAVY STUTTER RATE,FRAME GEN LAG
2025-08-08 11:18:17.998,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-08-08 11:18:18.239,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-08-08 11:18:18.486,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-08-08 11:18:18.739,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-08-08 11:18:19.047,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-08-08 11:18:19.313,MafiaTheOldCountry.exe,DX12,49.813,20.075,29.909,0.000,N/A,N/A
2025-08-08 11:18:19.489,MafiaTheOldCountry.exe,DX12,49.813,20.075,29.909,0.000,N/A,N/A
2025-08-08 11:18:19.752,MafiaTheOldCountry.exe,DX12,50.259,19.897,35.603,4.348,N/A,N/A
2025-08-08 11:18:20.009,MafiaTheOldCountry.exe,DX12,50.259,19.897,35.603,4.348,N/A,N/A
2025-08-08 11:18:20.265,MafiaTheOldCountry.exe,DX12,50.259,19.897,35.603,4.348,N/A,N/A
2025-08-08 11:18:20.509,MafiaTheOldCountry.exe,DX12,50.259,19.897,35.603,4.348,N/A,N/A
2025-08-08 11:18:20.763,MafiaTheOldCountry.exe,DX12,43.168,23.165,12.560,24.242,N/A,N/A
2025-08-08 11:18:21.025,MafiaTheOldCountry.exe,DX12,43.168,23.165,12.560,24.242,N/A,N/A
2025-08-08 11:18:21.287,MafiaTheOldCountry.exe,DX12,43.168,23.165,12.560,24.242,N/A,N/A
2025-08-08 11:18:21.537,MafiaTheOldCountry.exe,DX12,43.168,23.165,12.560,24.242,N/A,N/A
2025-08-08 11:18:21.784,MafiaTheOldCountry.exe,DX12,39.640,25.227,4.732,39.024,N/A,N/A
2025-08-08 11:18:22.035,MafiaTheOldCountry.exe,DX12,39.640,25.227,4.732,39.024,N/A,N/A
2025-08-08 11:18:22.302,MafiaTheOldCountry.exe,DX12,39.640,25.227,4.732,39.024,N/A,N/A
2025-08-08 11:18:22.549,MafiaTheOldCountry.exe,DX12,39.713,25.181,4.732,36.585,N/A,N/A
2025-08-08 11:18:22.815,MafiaTheOldCountry.exe,DX12,34.873,28.675,2.901,38.710,N/A,N/A
2025-08-08 11:18:23.062,MafiaTheOldCountry.exe,DX12,34.873,28.675,2.901,38.710,N/A,N/A
2025-08-08 11:18:23.326,MafiaTheOldCountry.exe,DX12,34.873,28.675,2.901,38.710,N/A,N/A
2025-08-08 11:18:23.574,MafiaTheOldCountry.exe,DX12,34.873,28.675,2.901,38.710,N/A,N/A
2025-08-08 11:18:23.837,MafiaTheOldCountry.exe,DX12,31.861,31.386,2.901,48.571,N/A,N/A
2025-08-08 11:18:24.086,MafiaTheOldCountry.exe,DX12,31.861,31.386,2.901,48.571,N/A,N/A
2025-08-08 11:18:24.333,MafiaTheOldCountry.exe,DX12,31.861,31.386,2.901,48.571,N/A,N/A
2025-08-08 11:18:24.622,MafiaTheOldCountry.exe,DX12,31.861,31.386,2.901,48.571,N/A,N/A
2025-08-08 11:18:24.833,MafiaTheOldCountry.exe,DX12,41.268,24.232,4.775,9.259,N/A,N/A
2025-08-08 11:18:25.089,MafiaTheOldCountry.exe,DX12,41.268,24.232,4.775,9.259,N/A,N/A
2025-08-08 11:18:25.331,MafiaTheOldCountry.exe,DX12,41.268,24.232,4.775,9.259,N/A,N/A
2025-08-08 11:18:25.587,MafiaTheOldCountry.exe,DX12,41.268,24.232,4.775,9.259,N/A,N/A
2025-08-08 11:18:25.844,MafiaTheOldCountry.exe,DX12,53.069,18.843,37.760,3.774,N/A,N/A
2025-08-08 11:18:26.085,MafiaTheOldCountry.exe,DX12,53.069,18.843,37.760,3.774,N/A,N/A
2025-08-08 11:18:26.332,MafiaTheOldCountry.exe,DX12,53.069,18.843,37.760,3.774,N/A,N/A
2025-08-08 11:18:26.584,MafiaTheOldCountry.exe,DX12,53.069,18.843,37.760,3.774,N/A,N/A
2025-08-08 11:18:26.830,MafiaTheOldCountry.exe,DX12,49.264,20.299,33.729,11.364,N/A,N/A
2025-08-08 11:18:27.080,MafiaTheOldCountry.exe,DX12,49.264,20.299,33.729,11.364,N/A,N/A
2025-08-08 11:18:27.336,MafiaTheOldCountry.exe,DX12,49.264,20.299,33.729,11.364,N/A,N/A
2025-08-08 11:18:27.617,MafiaTheOldCountry.exe,DX12,48.216,20.740,33.729,7.843,N/A,N/A
2025-08-08 11:18:27.831,MafiaTheOldCountry.exe,DX12,48.216,20.740,33.729,7.843,N/A,N/A
2025-08-08 11:18:28.083,MafiaTheOldCountry.exe,DX12,48.216,20.740,33.729,7.843,N/A,N/A
2025-08-08 11:18:28.367,MafiaTheOldCountry.exe,DX12,48.216,20.740,33.729,7.843,N/A,N/A
2025-08-08 11:18:28.583,MafiaTheOldCountry.exe,DX12,48.216,20.740,33.729,7.843,N/A,N/A
2025-08-08 11:18:28.833,MafiaTheOldCountry.exe,DX12,48.617,20.569,34.355,10.204,N/A,N/A
2025-08-08 11:18:29.080,MafiaTheOldCountry.exe,DX12,48.617,20.569,34.355,10.204,N/A,N/A
2025-08-08 11:18:29.357,MafiaTheOldCountry.exe,DX12,48.617,20.569,34.355,10.204,N/A,N/A
2025-08-08 11:18:29.626,MafiaTheOldCountry.exe,DX12,48.617,20.569,34.355,10.204,N/A,N/A
