TIME STAMP,GPU 1 UTIL,GPU 1 SCLK,GPU 1 PWR,GPU 1 TEMP,GPU 1 HOTSPOT TEMP,GPU 1 FAN,GPU 1 VOLTAGE,GPU MEM 1 UTIL,GPU 1 MCLK,GPU 2 UTIL,GPU 2 SCLK,GPU 2 PWR,GPU 2 TEMP,GPU 2 VOLTAGE,GPU MEM 2 UTIL,GPU 2 MCLK,CPU UTIL,SMART SHIFT MAX,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER,CPU EDC,CPU TDC,SYSTEM MEM UTIL
N/A,84.69,1499.86,57.76,73.45,78.66,0.00,795.70,9116.63,1874.11,4.97,232.72,20.86,71.56,1133.16,155.94,1600.00,63.07,0.75,2.95,1.14,76.39,15.83,70.89,13.57,18.37
2025-08-08 11:18:17.998,93.000,1741.000,61,63.000,69.000,0.000,800.000,7076.000,1988.000,33.000,200.000,25,63.000,1112.000,131.000,1600.000,71.57,0.000,3.441,1.273,71.540,22.745,90.972,16.688,15.92
2025-08-08 11:18:19.047,93.000,1623.000,61,64.000,70.000,0.000,787.000,7075.000,1988.000,19.000,200.000,21,64.000,1099.000,131.000,1600.000,63.29,0.000,3.256,1.195,69.014,17.748,81.578,16.863,15.92
2025-08-08 11:18:20.009,97.000,1618.000,53,63.000,69.000,0.000,787.000,7075.000,1324.000,32.000,200.000,23,63.000,1099.000,131.000,1600.000,76.02,0.000,2.969,1.101,67.855,14.630,67.140,14.501,15.93
2025-08-08 11:18:21.025,86.000,1760.000,47,63.000,69.000,0.000,787.000,7075.000,1986.000,20.000,400.000,22,65.000,1368.000,131.000,1600.000,46.69,0.000,3.331,1.178,69.541,18.560,79.779,14.726,15.94
2025-08-08 11:18:22.035,96.000,1681.000,63,64.000,70.000,0.000,787.000,7076.000,1988.000,17.000,200.000,28,67.000,1343.000,131.000,1600.000,71.04,0.000,3.642,1.314,76.427,18.196,88.621,14.127,15.95
2025-08-08 11:18:23.062,91.000,1488.000,53,62.000,68.000,0.000,787.000,7141.000,1242.000,15.000,200.000,26,65.000,1125.000,131.000,1600.000,51.92,0.000,3.723,1.316,76.166,25.343,95.221,16.671,15.96
2025-08-08 11:18:24.086,86.000,1393.000,63,64.000,70.000,0.000,787.000,7149.000,1312.000,11.000,200.000,28,67.000,1137.000,131.000,1600.000,57.56,0.000,3.252,1.336,76.265,21.534,93.802,17.014,15.96
2025-08-08 11:18:25.089,95.000,1622.000,61,64.000,70.000,0.000,787.000,7142.000,1988.000,8.000,200.000,24,64.000,1074.000,131.000,1600.000,64.43,0.000,3.401,1.326,77.225,25.026,95.782,17.077,15.97
2025-08-08 11:18:26.085,94.000,1613.000,57,64.000,69.000,0.000,787.000,7143.000,1424.000,13.000,200.000,22,65.000,1112.000,131.000,1600.000,68.40,0.000,2.920,1.108,69.583,15.325,67.580,16.524,15.97
